Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (XLI), Experimental  Coincident Index (XCI),
Experimental Coincident Recession Index (XRIC)
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Leading Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  7/08/03

     date          XRI        XLI       XCI       XRI-C     XLI-2     XRI-2
     1985:07       0.01       5.5      154.1       0.18     4.0       0.10 
     1985:08       0.01       5.3      155.0       0.03     5.2       0.06 
     1985:09       0.01       6.2      155.5       0.01     6.5       0.05 
     1985:10       0.03       4.8      155.7       0.02     4.3       0.08 
     1985:11       0.05       3.5      156.0       0.02     2.9       0.10 
     1985:12       0.03       4.5      156.6       0.01     4.7       0.07 
     1986:01       0.04       4.7      157.2       0.01     5.3       0.06 
     1986:02       0.09       3.1      156.7       0.09     3.9       0.09 
     1986:03       0.05       4.0      156.7       0.09     4.3       0.09 
     1986:04       0.04       4.3      157.5       0.02     5.3       0.06 
     1986:05       0.16       2.3      157.4       0.06     4.0       0.08 
     1986:06       0.28       1.3      157.2       0.14     3.2       0.10 
     1986:07       0.13       2.5      157.3       0.08     3.9       0.09 
     1986:08       0.05       3.6      157.7       0.05     3.5       0.11 
     1986:09       0.06       3.0      158.7       0.01     3.5       0.11 
     1986:10       0.08       2.4      158.8       0.02     3.9       0.11 
     1986:11       0.11       1.6      159.2       0.02     3.2       0.13 
     1986:12       0.03       4.3      160.2       0.01     6.8       0.06 
     1987:01       0.09       3.2      159.5       0.11     2.3       0.15 
     1987:02       0.12       2.9      161.4       0.01     2.6       0.12 
     1987:03       0.15       2.4      161.7       0.01     3.8       0.10 
     1987:04       0.37       0.7      161.6       0.04     4.3       0.11 
     1987:05       0.40      -0.0      162.4       0.01     3.3       0.14 
     1987:06       0.15       1.0      163.2       0.01     4.2       0.13 
     1987:07       0.06       1.8      164.1       0.01     3.9       0.15 
     1987:08       0.13       0.8      164.8       0.01     3.0       0.16 
     1987:09       0.45      -0.8      164.6       0.03     3.3       0.16 
     1987:10       0.33      -0.2      166.1       0.01     2.8       0.18 
     1987:11       0.40      -0.7      166.7       0.01     2.5       0.17 
     1987:12       0.17       0.4      167.7       0.01     2.3       0.20 
     1988:01       0.13       0.3      167.7       0.03    -0.1       0.30 
     1988:02       0.03       2.2      168.7       0.01     3.1       0.15 
     1988:03       0.02       3.1      169.5       0.01     4.6       0.11 
     1988:04       0.05       2.6      170.3       0.01     3.6       0.15 
     1988:05       0.07       2.7      170.3       0.03     2.3       0.17 
     1988:06       0.04       2.9      170.6       0.02     4.2       0.16 
     1988:07       0.09       1.3      171.0       0.02     2.0       0.20 
     1988:08       0.08       1.1      171.4       0.01     2.5       0.18 
     1988:09       0.09       1.4      171.5       0.04     2.1       0.18 
     1988:10       0.07       2.7      172.5       0.01     2.7       0.13 
     1988:11       0.12       3.0      172.8       0.01     3.9       0.10 
     1988:12       0.13       2.6      173.8       0.01     4.2       0.11 
     1989:01       0.13       2.4      174.3       0.01     4.0       0.13 
     1989:02       0.19       0.7      173.9       0.08     2.2       0.20 
     1989:03       0.23      -0.1      174.0       0.06     0.2       0.31 
     1989:04       0.10       1.4      174.5       0.03     1.2       0.20 
     1989:05       0.08       2.1      173.8       0.22     2.8       0.17 
     1989:06       0.09       1.9      173.4       0.28     1.4       0.22 
     1989:07       0.19       1.3      172.5       0.77     0.2       0.28 
     1989:08       0.19       1.1      173.7       0.09     2.7       0.15 
     1989:09       0.24       0.7      173.6       0.18     2.3       0.16 
     1989:10       0.14       2.0      173.6       0.18     3.0       0.13 
     1989:11       0.11       2.5      174.5       0.03     4.2       0.11 
     1989:12       0.05       4.0      174.9       0.01     4.1       0.10 
     1990:01       0.03       6.4      174.5       0.14     7.6       0.05 
     1990:02       0.10       3.8      175.6       0.02     3.5       0.16 
     1990:03       0.15       0.9      176.3       0.01    -0.8       0.31 
     1990:04       0.23      -0.3      175.6       0.12    -1.9       0.37 
     1990:05       0.21      -0.2      176.0       0.05    -0.3       0.31 
     1990:06       0.12       1.1      176.7       0.02    -0.1       0.27 
     1990:07       0.11       2.0      176.6       0.05     0.8       0.24 
     1990:08       0.17       2.0      176.7       0.07     1.7       0.21 
     1990:09       0.39       0.4      176.0       0.29    -0.3       0.32 
     1990:10       0.47      -0.3      174.7       0.81    -0.5       0.35 
     1990:11       0.52      -0.7      173.3       0.99    -1.1       0.40 
     1990:12       0.44      -0.9      172.7       0.94    -1.9       0.48 
     1991:01       0.40      -1.1      171.5       0.99    -1.8       0.49 
     1991:02       0.32      -0.6      170.8       0.96    -0.6       0.41 
     1991:03       0.20       0.4      170.5       0.90     0.7       0.36 
     1991:04       0.14       0.2      170.9       0.51     1.3       0.30 
     1991:05       0.07       1.2      171.8       0.16     1.8       0.26 
     1991:06       0.06       1.6      172.5       0.02     0.7       0.29 
     1991:07       0.03       2.3      172.7       0.03     2.6       0.23 
     1991:08       0.04       2.6      172.8       0.05     0.9       0.26 
     1991:09       0.04       2.4      173.4       0.01     1.2       0.24 
     1991:10       0.05       2.1      173.2       0.08     1.5       0.24 
     1991:11       0.08       2.1      173.0       0.11     0.2       0.31 
     1991:12       0.03       4.0      172.4       0.34     1.8       0.23 
     1992:01       0.01       4.7      172.4       0.30     2.5       0.22 
     1992:02       0.01       4.8      173.3       0.06     3.0       0.19 
     1992:03       0.01       3.1      173.9       0.02     2.5       0.23 
     1992:04       0.01       2.8      174.7       0.01     2.6       0.21 
