Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  8/28/00

     date         XRI       XLI       XCI      XLI-2     XRI-2
     1980:05       0.45      -3.5      140.2    -4.7       0.47 
     1980:06       0.21      -0.6      139.2    -0.6       0.25 
     1980:07       0.19       2.4      138.7     3.7       0.12 
     1980:08       0.22       2.6      139.8     6.2       0.08 
     1980:09       0.21       3.2      141.3     7.5       0.06 
     1980:10       0.50       0.7      143.0     6.4       0.11 
     1980:11       0.87      -1.9      144.4     4.0       0.14 
     1980:12       0.70      -2.1      144.9     1.8       0.23 
     1981:01       0.40      -0.7      144.8    -0.3       0.31 
     1981:02       0.20       0.2      144.7    -0.3       0.30 
     1981:03       0.21       0.6      144.7     0.3       0.27 
     1981:04       0.63      -0.9      143.7     0.5       0.26 
     1981:05       0.60      -2.0      144.0     1.4       0.25 
     1981:06       0.78      -3.2      144.5    -0.8       0.39 
     1981:07       0.81      -4.3      145.4    -1.1       0.39 
     1981:08       0.85      -5.2      145.2    -1.3       0.43 
     1981:09       0.75      -3.8      143.7    -1.8       0.46 
     1981:10       0.55      -3.2      143.2    -3.4       0.56 
     1981:11       0.45      -2.1      142.4    -3.2       0.53 
     1981:12       0.46      -1.7      141.5    -1.6       0.45 
     1982:01       0.65      -1.8      139.6    -1.5       0.46 
     1982:02       0.31      -0.7      141.3     1.2       0.32 
     1982:03       0.32      -1.7      141.1     0.4       0.31 
     1982:04       0.35      -1.9      140.8     0.4       0.33 
     1982:05       0.52      -1.6      140.4     0.5       0.34 
     1982:06       0.56      -1.9      139.8    -1.0       0.41 
     1982:07       0.23      -0.1      138.8    -1.0       0.38 
     1982:08       0.49      -2.0      138.1    -2.0       0.49 
     1982:09       0.23      -1.6      137.4    -0.8       0.42 
     1982:10       0.07       1.0      136.7    -0.2       0.35 
     1982:11       0.05       1.7      136.4     1.9       0.21 
     1982:12       0.01       4.6      136.3     4.2       0.12 
     1983:01       0.01       6.5      137.9     6.5       0.09 
     1983:02       0.01       6.5      137.5     5.6       0.11 
     1983:03       0.01       6.7      138.6     4.4       0.14 
     1983:04       0.01       7.6      139.7     4.5       0.13 
     1983:05       0.01       8.5      140.9     5.1       0.10 
     1983:06       0.01       8.4      141.6     7.4       0.08 
     1983:07       0.01       8.1      143.3     6.5       0.10 
     1983:08       0.01       6.0      143.8     4.7       0.14 
     1983:09       0.01       5.3      145.6     2.9       0.17 
     1983:10       0.01       6.7      146.9     4.1       0.12 
     1983:11       0.01       6.8      147.4     5.5       0.12 
     1983:12       0.01       6.9      148.8     4.2       0.13 
     1984:01       0.01       8.2      150.6     5.9       0.10 
