"","FirstDate","inflation_punew","inflation_puxhs","inflation_puxx","inflation_pce","quarter","group"
"114",1980-07-01,0.0207958564624863,0.0194416816145854,0.0162199438667635,0.0231301430125899,1980 Q3,1980
"115",1980-10-01,0.0251059211310765,0.0249567319738677,0.0268636422695483,0.024468277986314,1980 Q4,1980
"116",1981-01-01,0.0290887292569253,0.0254938488262198,0.0285054929979263,0.0256493344497994,1981 Q1,1981
"117",1981-04-01,0.0215550035618297,0.0259754864032605,0.0185620178600596,0.0166303075511658,1981 Q2,1981
"118",1981-07-01,0.0265796378047121,0.0176800185361722,0.0316768566535701,0.0163348790058853,1981 Q3,1981
"119",1981-10-01,0.0205523729533214,0.0184487055523333,0.0252899679531072,0.0151746571771701,1981 Q4,1981
"120",1982-01-01,0.0106497279166581,0.0138816964861558,0.012945164592037,0.0125629505520416,1982 Q1,1982
"121",1982-04-01,0.0063358184490857,0.00423281055262076,0.0148938923387344,0.00955060896419866,1982 Q2,1982
"122",1982-07-01,0.0259754864032607,0.0219329940904988,0.020899402267216,0.0156216511914532,1982 Q3,1982
"123",1982-10-01,0.00613498856751593,0.00925456476620589,0.00823897554455286,0.0109387117534246,1982 Q4,1982
"124",1983-01-01,-0.00204081703485256,0.00510465631168305,0.00102511541524535,0.00819148520377212,1983 Q1,1983
"125",1983-04-01,0.00915105521735739,0.00811363477416963,0.010193768189543,0.00909549982632288,1983 Q2,1983
"126",1983-07-01,0.0100705785635961,0.0100503358535015,0.0120969217088285,0.0130645223228237,1983 Q3,1983
"127",1983-10-01,0.00997017231984985,0.00995033085316809,0.0119523335238412,0.00661678235374607,1983 Q4,1983
"128",1984-01-01,0.0128143695333516,0.0118111609283446,0.0147422817372034,0.0108061430802561,1984 Q1,1984
"129",1984-04-01,0.0116846509549731,0.0107056983559887,0.0116393166570188,0.00967638726581909,1984 Q2,1984
"130",1984-07-01,0.00771459949533038,0.00675352301577992,0.0124582349220418,0.00769480531915251,1984 Q3,1984
"131",1984-10-01,0.00956030226198233,0.00956945101615067,0.0113637586503152,0.00616659913835736,1984 Q4,1984
"132",1985-01-01,0.0056926149932865,0.0047506027585978,0.0084388686458646,0.011695564786281,1985 Q1,1985
"133",1985-04-01,0.0122239415857141,0.0113102053915866,0.0120651115518429,0.0080822330223981,1985 Q2,1985
"134",1985-07-01,0.00652074970043679,0.00374181914599535,0.00918280098233498,0.00781877287809448,1985 Q3,1985
"135",1985-10-01,0.00740058881817132,0.00465767027398094,0.0100046309699265,0.00694949091996268,1985 Q4,1985
"136",1986-01-01,0.0128206884290615,0.0120093822112309,0.012590094360072,0.00709745722204569,1986 Q1,1986
"137",1986-04-01,-0.0109790672824119,-0.0176011954770087,0.00889685583773672,-0.00103885930840571,1986 Q2,1986
"138",1986-07-01,0.00733275512939179,0.00652074970043679,0.00794005053661422,0.00526157437260083,1986 Q3,1986
"139",1986-10-01,0.00637234746225861,0.00370714048281958,0.0104896066710194,0.0060293871269425,1986 Q4,1986
"140",1987-01-01,0.0108304307743696,0.012867824611393,0.00779562198245609,0.00939916402675485,1987 Q1,1987
"141",1987-04-01,0.011602093552547,0.0118022250566279,0.0120070053137236,0.0095970760305481,1987 Q2,1987
"142",1987-07-01,0.00971310064649981,0.00987884100469625,0.00848901532491131,0.00941161139265922,1987 Q3,1987
"143",1987-10-01,0.0104896066710194,0.00889685583773672,0.0125999146970078,0.00859534239929565,1987 Q4,1987
"144",1988-01-01,0.00865806274311453,0.00618103513143445,0.00914007193939798,0.00785485657957948,1988 Q1,1988
"145",1988-04-01,0.0102916860365477,0.0105079775984152,0.0115132850723796,0.0109895268321782,1988 Q2,1988
"146",1988-07-01,0.0110310834322736,0.0121213605323448,0.0105735023304636,0.0122477291019105,1988 Q3,1988
"147",1988-10-01,0.0117451014582827,0.0119761910467156,0.0128619136424078,0.0100572193889723,1988 Q4,1988
"148",1989-01-01,0.0107840116017454,0.0109937682322098,0.0103298495015767,0.0114474441602179,1989 Q1,1989
"149",1989-04-01,0.0155549595551937,0.0175077419000049,0.0102242337758594,0.0134017450189496,1989 Q2,1989
"150",1989-07-01,0.0113086827143546,0.00904983551991786,0.010895049405067,0.00589529736140369,1989 Q3,1989
"151",1989-10-01,0.00720291229405802,0.0065306354553302,0.0107776254938293,0.00786423592318979,1989 Q4,1989
"152",1990-01-01,0.0166077363996605,0.0177424009008762,0.0114199946859488,0.0144234916787161,1990 Q1,1990
"153",1990-04-01,0.0109205453466609,0.0103380642398916,0.0142805884226317,0.00904079567342365,1990 Q2,1990
"154",1990-07-01,0.0123363168176063,0.0102322813257365,0.0133434151736846,0.0126278683565389,1990 Q3,1990
"155",1990-10-01,0.0219789067187754,0.0255135601626579,0.0131677103746475,0.0131440525377956,1990 Q4,1990
"156",1991-01-01,0.00969794993479474,0.00911860421643434,0.013713675762177,0.00522596472906647,1991 Q1,1991
"157",1991-04-01,0.00296516154983497,0.00151171608532216,0.00998581764321426,0.00542633832407118,1991 Q2,1991
"158",1991-07-01,0.00810914874925872,0.0082738343373964,0.00988708619117215,0.00675388241677172,1991 Q3,1991
"159",1991-10-01,0.00731532157637292,0.00671895024874501,0.00979028798917232,0.00722152538047155,1991 Q4,1991
"160",1992-01-01,0.00798552337892794,0.00667410708769322,0.00969536680516299,0.00623054975063616,1992 Q1,1992
"161",1992-04-01,0.00792225965571092,0.0080972102326193,0.00823614813593658,0.00661922938708472,1992 Q2,1992
"162",1992-07-01,0.00785999044737688,0.00803217169726425,0.0088466041402934,0.00635563617760996,1992 Q3,1992
"163",1992-10-01,0.00850465792283414,0.00868941021415989,0.00809721023261952,0.00695578691202691,1992 Q4,1992
"164",1993-01-01,0.00773290320884931,0.00718393894213034,0.00869861624042461,0.00594600553297951,1993 Q1,1993
"165",1993-04-01,0.00697839538146228,0.00713269785742729,0.00862360236393219,0.0066973685241484,1993 Q2,1993
"166",1993-07-01,0.0048560622655404,0.00425532557013849,0.00592691889776777,0.00433780098735597,1993 Q3,1993
"167",1993-10-01,0.00758362821009864,0.00845671001822346,0.0071966290320397,0.00575461879769736,1993 Q4,1993
"168",1994-01-01,0.00479617226349323,0.00420168685369998,0.00714520740464424,0.00356468600003306,1994 Q1,1994
"169",1994-04-01,0.006132898268697,0.00487975872454121,0.0064516352814886,0.00556530032442254,1994 Q2,1994
"170",1994-07-01,0.00811912443850441,0.00899971460319568,0.00768741774268615,0.00715736380751421,1994 Q3,1994
"171",1994-10-01,0.00671594196543681,0.00549829563859788,0.00699525904979877,0.00468847989214352,1994 Q4,1994
"172",1995-01-01,0.00733581149021336,0.00751113124999627,0.0075757938084575,0.00488969370177787,1995 Q1,1995
"173",1995-04-01,0.00860078077259912,0.00813012608325009,0.00876649321218259,0.00579780537034506,1995 Q2,1995
"174",1995-07-01,0.0052562538888269,0.00404040953700513,0.00621506040343419,0.00408714889450954,1995 Q3,1995
"175",1995-10-01,0.00588044817689532,0.00536194314138537,0.00802225838914363,0.00437843223096101,1995 Q4,1995
"176",1996-01-01,0.00778719055176846,0.00666224982541625,0.00612747015209707,0.00554099035357198,1996 Q1,1996
"177",1996-04-01,0.00900906994236591,0.00991088389945396,0.00548280386588017,0.00666974289715669,1996 Q2,1996
"178",1996-07-01,0.00574897782692176,0.00459167746717312,0.00666063618954786,0.00424886830400275,1996 Q3,1996
