"","FirstDate","inflation_punew","inflation_puxhs","inflation_puxx","inflation_pce","quarter"
"112",1975-01-01,0.0241423053215996,0.0241423053215996,0.0212568390254149,0.0184930588858493,"1975-Q1"
"113",1975-04-01,0.0109490144896705,0.0109490144896705,0.0189399601009217,0.0121163119454327,"1975-Q2"
"114",1975-07-01,0.0215448189867758,0.0215448189867758,0.0130477153924757,0.0184948781990706,"1975-Q3"
"115",1975-10-01,0.0176060885750493,0.0176060885750493,0.0147061473896955,0.0166340759196387,"1975-Q4"
"116",1976-01-01,0.0138650401371718,0.0138650401371718,0.0198741862070836,0.0110214858054202,"1976-Q1"
"117",1976-04-01,0.00686109037994516,0.00686109037994516,0.014209830572653,0.0083742392546298,"1976-Q2"
"118",1976-07-01,0.0135825517658689,0.0135825517658689,0.0157483569681391,0.0151378713011618,"1976-Q3"
"119",1976-10-01,0.0167227977294599,0.0167227977294599,0.0155041865359653,0.0156726643394131,"1976-Q4"
"120",1977-01-01,0.0148150857851407,0.0148150857851407,0.0135825517658689,0.0178778007195944,"1977-Q1"
"121",1977-04-01,0.0210193672240753,0.0210193672240753,0.0167227977294599,0.0169298761128576,"1977-Q2"
"122",1977-07-01,0.0127187724077746,0.0127187724077746,0.0148150857851407,0.0149397415709256,"1977-Q3"
"123",1977-10-01,0.00943403223335871,0.00943403223335871,0.0129871955268111,0.0141040535831553,"1977-Q4"
"124",1978-01-01,0.0155282623265552,0.0155282623265552,0.017586384502076,0.0162071847775071,"1978-Q1"
"125",1978-04-01,0.0198328392329182,0.0198328392329182,0.0188388616964061,0.0203341181404743,"1978-Q2"
"126",1978-07-01,0.0209275201059558,0.0209275201059558,0.0200160647064695,0.017413298245391,"1978-Q3"
"127",1978-10-01,0.0190481949706946,0.0190481949706946,0.0240975515790605,0.0187444631241624,"1978-Q4"
"128",1979-01-01,0.0215370851443838,0.0215370851443838,0.0191604977390758,0.0186954825516747,"1979-Q1"
"129",1979-04-01,0.0293932986966323,0.0293932986966323,0.0259380535484395,0.0270006624487285,"1979-Q2"
"130",1979-07-01,0.0298935302781427,0.0298935302781427,0.0225044659103819,0.024521909161874,"1979-Q3"
"131",1979-10-01,0.0225026040337032,0.0225026040337032,0.0287888284771686,0.0239623865135372,"1979-Q4"
"132",1980-01-01,0.0321985316793537,0.0321985316793537,0.0358366151690407,0.0295737189795099,"1980-Q1"
"133",1980-04-01,0.0324217923949884,0.0324217923949884,0.0358553132870756,0.0242104346443742,"1980-Q2"
"134",1980-07-01,0.0194416816145854,0.0194416816145854,0.0162199438667635,0.0231301430125899,"1980-Q3"
"135",1980-10-01,0.0249567319738677,0.0249567319738677,0.0268636422695483,0.024468277986314,"1980-Q4"
"136",1981-01-01,0.0254938488262198,0.0254938488262198,0.0285054929979263,0.0256493344497994,"1981-Q1"
"137",1981-04-01,0.0259754864032605,0.0259754864032605,0.0185620178600596,0.0166303075511658,"1981-Q2"
"138",1981-07-01,0.0176800185361722,0.0176800185361722,0.0316768566535701,0.0163348790058853,"1981-Q3"
"139",1981-10-01,0.0184487055523333,0.0184487055523333,0.0252899679531072,0.0151746571771701,"1981-Q4"
"140",1982-01-01,0.0138816964861558,0.0138816964861558,0.012945164592037,0.0125629505520416,"1982-Q1"
"141",1982-04-01,0.00423281055262076,0.00423281055262076,0.0148938923387344,0.00955060896419866,"1982-Q2"
"142",1982-07-01,0.0219329940904988,0.0219329940904988,0.020899402267216,0.0156216511914532,"1982-Q3"
"143",1982-10-01,0.00925456476620589,0.00925456476620589,0.00823897554455286,0.0109387117534246,"1982-Q4"
"144",1983-01-01,0.00510465631168305,0.00510465631168305,0.00102511541524535,0.00819148520377212,"1983-Q1"
"145",1983-04-01,0.00811363477416963,0.00811363477416963,0.010193768189543,0.00909549982632288,"1983-Q2"
"146",1983-07-01,0.0100503358535015,0.0100503358535015,0.0120969217088285,0.0130645223228237,"1983-Q3"
"147",1983-10-01,0.00995033085316809,0.00995033085316809,0.0119523335238412,0.00661678235374607,"1983-Q4"
"148",1984-01-01,0.0118111609283446,0.0118111609283446,0.0147422817372034,0.0108061430802561,"1984-Q1"
"149",1984-04-01,0.0107056983559887,0.0107056983559887,0.0116393166570188,0.00967638726581909,"1984-Q2"
"150",1984-07-01,0.00675352301577992,0.00675352301577992,0.0124582349220418,0.00769480531915251,"1984-Q3"
"151",1984-10-01,0.00956945101615067,0.00956945101615067,0.0113637586503152,0.00616659913835736,"1984-Q4"
"152",1985-01-01,0.0047506027585978,0.0047506027585978,0.0084388686458646,0.011695564786281,"1985-Q1"
"153",1985-04-01,0.0113102053915866,0.0113102053915866,0.0120651115518429,0.0080822330223981,"1985-Q2"
"154",1985-07-01,0.00374181914599535,0.00374181914599535,0.00918280098233498,0.00781877287809448,"1985-Q3"
"155",1985-10-01,0.00465767027398094,0.00465767027398094,0.0100046309699265,0.00694949091996268,"1985-Q4"
"156",1986-01-01,0.0120093822112309,0.0120093822112309,0.012590094360072,0.00709745722204569,"1986-Q1"
"157",1986-04-01,-0.0176011954770087,-0.0176011954770087,0.00889685583773672,-0.00103885930840571,"1986-Q2"
"158",1986-07-01,0.00652074970043679,0.00652074970043679,0.00794005053661422,0.00526157437260083,"1986-Q3"
"159",1986-10-01,0.00370714048281958,0.00370714048281958,0.0104896066710194,0.0060293871269425,"1986-Q4"
"160",1987-01-01,0.012867824611393,0.012867824611393,0.00779562198245609,0.00939916402675485,"1987-Q1"
"161",1987-04-01,0.0118022250566279,0.0118022250566279,0.0120070053137236,0.0095970760305481,"1987-Q2"
"162",1987-07-01,0.00987884100469625,0.00987884100469625,0.00848901532491131,0.00941161139265922,"1987-Q3"
"163",1987-10-01,0.00889685583773672,0.00889685583773672,0.0125999146970078,0.00859534239929565,"1987-Q4"
"164",1988-01-01,0.00618103513143445,0.00618103513143445,0.00914007193939798,0.00785485657957948,"1988-Q1"
"165",1988-04-01,0.0105079775984152,0.0105079775984152,0.0115132850723796,0.0109895268321782,"1988-Q2"
"166",1988-07-01,0.0121213605323448,0.0121213605323448,0.0105735023304636,0.0122477291019105,"1988-Q3"
"167",1988-10-01,0.0119761910467156,0.0119761910467156,0.0128619136424078,0.0100572193889723,"1988-Q4"
"168",1989-01-01,0.0109937682322098,0.0109937682322098,0.0103298495015767,0.0114474441602179,"1989-Q1"
"169",1989-04-01,0.0175077419000049,0.0175077419000049,0.0102242337758594,0.0134017450189496,"1989-Q2"
"170",1989-07-01,0.00904983551991786,0.00904983551991786,0.010895049405067,0.00589529736140369,"1989-Q3"
"171",1989-10-01,0.0065306354553302,0.0065306354553302,0.0107776254938293,0.00786423592318979,"1989-Q4"
"172",1990-01-01,0.0177424009008762,0.0177424009008762,0.0114199946859488,0.0144234916787161,"1990-Q1"
"173",1990-04-01,0.0103380642398916,0.0103380642398916,0.0142805884226317,0.00904079567342365,"1990-Q2"
"174",1990-07-01,0.0102322813257365,0.0102322813257365,0.0133434151736846,0.0126278683565389,"1990-Q3"
"175",1990-10-01,0.0255135601626579,0.0255135601626579,0.0131677103746475,0.0131440525377956,"1990-Q4"
