"","FirstDate","quarter","group","punew_year","puxhs_year","puxx_year","pce_year"
"62",1967-07-01,1967 Q3,1967,0.0288554568325554,0.0259007284321575,0.0322136199836549,0.0245393292099294
"63",1967-10-01,1967 Q4,1967,0.0255460924276965,0.0256059509051713,0.0318406058556587,0.0253760847406225
"64",1968-01-01,1968 Q1,1968,0.035824726518145,0.0339015516756816,0.0373070524128106,0.0330353506105666
"65",1968-04-01,1968 Q2,1968,0.0385232819963353,0.0393309120624237,0.0426807311148805,0.0384640983008885
"66",1968-07-01,1968 Q3,1968,0.0439309292257268,0.0417306724564732,0.0478290876898815,0.0395512734559994
"67",1968-10-01,1968 Q4,1968,0.046385126580935,0.0412713317554047,0.0500104205746614,0.0420031149046915
"68",1969-01-01,1969 Q1,1969,0.0458533044961225,0.0381517659643763,0.0494606301683998,0.0411390297711594
"69",1969-04-01,1969 Q2,1969,0.0537611768914526,0.0457684184555808,0.0594769866384221,0.0436674526023301
"70",1969-07-01,1969 Q3,1969,0.0530110159665039,0.0478814862332139,0.0560894666510436,0.0455480570620051
"71",1969-10-01,1969 Q4,1969,0.0551103627105188,0.0473772810110112,0.0579109159448387,0.0460493865933487
"72",1970-01-01,1970 Q1,1970,0.0598004233027871,0.0546299674865899,0.0598357916106652,0.0478802249491891
"73",1970-04-01,1970 Q2,1970,0.0588405000229334,0.0512932943875505,0.0586155028344492,0.046275398127052
"74",1970-07-01,1970 Q3,1970,0.0554964054495153,0.0481715436733659,0.0604718217550176,0.043765027966759
"75",1970-10-01,1970 Q4,1970,0.0547724896541183,0.0476878307857154,0.0595709602453325,0.0451166096013638
"76",1971-01-01,1971 Q1,1971,0.0514252118074372,0.0445618280599109,0.0612186224279008,0.0429859837618008
"77",1971-04-01,1971 Q2,1971,0.0407180930187852,0.0416216746908195,0.0483185772708077,0.0432545591478112
"78",1971-07-01,1971 Q3,1971,0.0427738159832866,0.0435904360748617,0.0477417628852152,0.0433296788841747
"79",1971-10-01,1971 Q4,1971,0.0373642467448681,0.038466280827796,0.0378295698730496,0.0366216101709878
"80",1972-01-01,1972 Q1,1972,0.0320619324596632,0.033336420267592,0.0327131974063028,0.0376618604715499
"81",1972-04-01,1972 Q2,1972,0.0343170929241291,0.0306989868888067,0.0324854551444885,0.0321170297317827
"82",1972-07-01,1972 Q3,1972,0.0291282729230237,0.0257324139664781,0.0275879565188292,0.0311092928192439
"83",1972-10-01,1972 Q4,1972,0.0312901579932102,0.0301997398636326,0.0297164723284771,0.0331037394613723
"84",1973-01-01,1973 Q1,1973,0.0357606638790981,0.0367857568165111,0.02497292093138,0.0347378565219527
"85",1973-04-01,1973 Q2,1973,0.0516546748648919,0.0543119893537399,0.0292484291262321,0.0480305947952438
"86",1973-07-01,1973 Q3,1973,0.0558284495529419,0.0604887614806511,0.0312525435041042,0.0573844139889796
"87",1973-10-01,1973 Q4,1973,0.0774874954783742,0.0791621933963429,0.0419024916540091,0.069558600388064
"88",1974-01-01,1974 Q1,1974,0.091684282689022,0.0946943530374544,0.0502838164262152,0.0868127718084373
"89",1974-04-01,1974 Q2,1974,0.095934075010171,0.0985089030435169,0.0602332579082369,0.0956738971631698
"90",1974-07-01,1974 Q3,1974,0.109199291964992,0.110996775972024,0.08426034361774,0.104194118367356
"91",1974-10-01,1974 Q4,1974,0.111917916203985,0.117548100849712,0.100597570953274,0.10885906150034
"92",1975-01-01,1975 Q1,1975,0.111113168147276,0.112521671580654,0.108978695618643,0.0980185028726941
"93",1975-04-01,1975 Q2,1975,0.0970097364404064,0.0951287080680498,0.106820826754929,0.0822090659320794
"94",1975-07-01,1975 Q3,1975,0.09105996551563,0.0910563626845253,0.0870113769896297,0.0740937625016735
"95",1975-10-01,1975 Q4,1975,0.0736877157911591,0.0742422273730952,0.0679506619085078,0.0657383249499914
"96",1976-01-01,1976 Q1,1976,0.0647774983163881,0.0639649621886673,0.0665680090901765,0.0582667518695623
"97",1976-04-01,1976 Q2,1976,0.0568438989765288,0.059877038078942,0.0618378795619078,0.0545246791787594
"98",1976-07-01,1976 Q3,1976,0.0540672212702758,0.0519147708580351,0.0645385211375712,0.0511676722808506
"99",1976-10-01,1976 Q4,1976,0.0532040360634647,0.0510314800124457,0.065336560283841,0.050206260700625
"100",1977-01-01,1977 Q1,1977,0.0506658574467856,0.0519815256604147,0.0590449258426263,0.0570625756147992
"101",1977-04-01,1977 Q2,1977,0.06720874969345,0.0661398025045448,0.0615578929994332,0.065618212473027
"102",1977-07-01,1977 Q3,1977,0.064538521137571,0.0652760231464505,0.0606246218164348,0.0654200827427908
"103",1977-10-01,1977 Q4,1977,0.0619444859605244,0.0579872576503493,0.0581076308072806,0.0638514719865329
"104",1978-01-01,1978 Q1,1978,0.0659217208048241,0.0587004341917639,0.0621114635434877,0.0621808560444456
"105",1978-04-01,1978 Q2,1978,0.0629747991613883,0.0575139062006068,0.0642275275104339,0.0655850980720623
"106",1978-07-01,1978 Q3,1978,0.0744603536690848,0.065722653898788,0.0694285064317628,0.0680586547465277
"107",1978-10-01,1978 Q4,1978,0.0855221734381617,0.0753368166361239,0.0805388624840122,0.0726990642875348
"108",1979-01-01,1979 Q1,1979,0.0884722976293044,0.0813456394539525,0.082112975721012,0.0751873620617024
"109",1979-04-01,1979 Q2,1979,0.0997107831157071,0.0909060989176665,0.0892121675730454,0.0818539063699566
"110",1979-07-01,1979 Q3,1979,0.108409298507185,0.0998721090898534,0.0917005687769577,0.0889625172864395
"111",1979-10-01,1979 Q4,1979,0.113967186978158,0.103326518152862,0.0963918456750657,0.0941804406758143
"112",1980-01-01,1980 Q1,1980,0.129875081421412,0.113987964687832,0.113067963105031,0.10505867710365
"113",1980-04-01,1980 Q2,1980,0.13618367956525,0.117016458386188,0.122985222843667,0.102268449299295
"114",1980-07-01,1980 Q3,1980,0.123550239378541,0.106564609722631,0.116700700800048,0.100876683150011
"115",1980-10-01,1980 Q4,1980,0.118964370702215,0.109018737662795,0.114775514592428,0.101382574622788
"116",1981-01-01,1981 Q1,1981,0.111495504225342,0.102314054809661,0.107444392421314,0.0974581900930775
"117",1981-04-01,1981 Q2,1981,0.0965455104123178,0.0958677488179333,0.0901510969942975,0.0898780629998692
"118",1981-07-01,1981 Q3,1981,0.102329291754544,0.0941060857395202,0.105608009781104,0.0830827989931645
"119",1981-10-01,1981 Q4,1981,0.0977757435767885,0.0875980593179858,0.104034335464663,0.0737891781840206
"120",1982-01-01,1982 Q1,1982,0.0793367422365213,0.0759859069779218,0.0884740070587739,0.0607027942862628
"121",1982-04-01,1982 Q2,1982,0.0641175571237774,0.0542432311272821,0.0848058815374488,0.0536230956992956
"122",1982-07-01,1982 Q3,1982,0.063513405722326,0.0584962066816087,0.0740284271510946,0.0529098678848635
"123",1982-10-01,1982 Q4,1982,0.0490960213365205,0.0493020658954813,0.0569774347425403,0.048673922461118
