"","group","punew_year","puxhs_year","puxx_year","pce_year"
"30",1976,0.0532040360634647,0.0510314800124457,0.065336560283841,0.050206260700625
"31",1977,0.0619444859605244,0.0579872576503494,0.0581076308072806,0.0638514719865329
"32",1978,0.0855221734381617,0.0753368166361239,0.0805388624840122,0.0726990642875348
"33",1979,0.113967186978158,0.103326518152862,0.0963918456750657,0.0941804406758143
"34",1980,0.118964370702215,0.109018737662795,0.114775514592428,0.101382574622788
"35",1981,0.0977757435767885,0.0875980593179858,0.104034335464663,0.0737891781840206
"36",1982,0.0490960213365205,0.0493020658954813,0.0569774347425403,0.048673922461118
"37",1983,0.0271509890659508,0.0332189577925223,0.0352681388374581,0.0369682897066648
"38",1984,0.0417739222456374,0.0388398333162639,0.0502035919665792,0.034343934803585
"39",1985,0.0318378950976087,0.0244602975701607,0.039691412149969,0.0345460616067362
"40",1986,0.0155467237383,0.00463607691747852,0.0399166074054424,0.0173495594131833
"41",1987,0.0426352316444358,0.0434457465104539,0.0408915573180988,0.0370031938492578
"42",1988,0.0417259336702186,0.0407865643089101,0.044088772984649,0.0411493319026404
"43",1989,0.0448505661653517,0.0440819811074627,0.0422267581763324,0.0386087224637609
"44",1990,0.0618435052827031,0.0638263066291621,0.0522117086569126,0.0492362082464742
"45",1991,0.0280875818102613,0.0256231048878979,0.0433768675857357,0.0246277108503809
"46",1992,0.0322724314048499,0.0314928992317367,0.0348753293140125,0.0261612022273577
"47",1993,0.0271509890659506,0.0270286723879196,0.0304457665341643,0.0227357938421812
"48",1994,0.0257641369361315,0.0235794558200347,0.0282795194786178,0.0209758300241133
"49",1995,0.0270732943285347,0.0250436100116369,0.0305796058132179,0.0191530801975935
"50",1996,0.0301594883063016,0.0296366767856932,0.0248874756996544,0.0232577047275302
"51",1997,0.0206450873291576,0.016731407035905,0.0225261451329321,0.0126956915082026
"52",1998,0.0147513430870727,0.00636134460701756,0.0220298764173005,0.00758006334539188
"53",1999,0.0253025546647858,0.0262843667145969,0.0209936788207367,0.0191432649816197
"54",2000,0.0339213809456676,0.0328097473091888,0.0249527778652523,0.0249538713148934
"55",2001,0.0210534091978321,0.0142435642474022,0.0259474016434538,0.0129965535580686
"56",2002,0.0200675630508094,0.0134623045732723,0.0216424388163787,0.0191835087882801
"57",2003,0.0202137447842001,0.0190043151137358,0.0129703504426274,0.0200723861797797
"58",2004,0.0314106206211071,0.0331026016816899,0.0199036935451922,0.0277933585050666
"59",2005,0.0425814520559643,0.052148337122823,0.0205058447926848,0.0307874370659001
"60",2006,0.0139653142486414,0.00157026988559883,0.0273454538905289,0.0194527627825933
"61",2007,0.0354704045822371,0.0372625290573497,0.0213362649835545,0.0333114871111602
"62",2008,0.0366313818993174,0.0436327278703708,0.021970501204799,0.0123533916054926
"63",2009,-0.00224219478302966,-0.00649444062774244,0.0169823125439218,0.011724067575689
"64",2010,0.0115994173813497,0.018929466421396,0.00600909273413366,0.0137097494934811
"65",2011,0.0346165545965793,0.0423666504560039,0.0208601118803156,0.0260768425485707
"66",2012,0.0213277192376924,0.0210072678577664,0.0197501665904047,0.0174979808846722
"67",2013,0.00872977581835006,0.00242063822933332,0.0167276861846568,0.0117884485297688
"68",2014,0.0159672591378629,0.00938577988866526,0.0180131085370425,0.0104488974844601
"69",2015,0.00127535199950195,-0.0133905945882112,0.018954557354747,0.00231064384889052
"70",2016,0.0167187099098691,0.007704820479007,0.0218060617354114,0.0148146332406525
"71",2017,0.0200061139750128,0.0139855629923408,0.0174433668337428,0.0173237806890213
"72",2018,0.0246148775712107,0.0212041384111691,0.0210411651452677,0.0193600128715683
"73",2019,0.0175371541822532,0.00985818545003601,0.0229958382363839,0.0138648556781293
"74",2020,0.0117559756318297,0.00758866743800042,0.016084933142549,0.011901263724753
"75",2021,0.0605093573419706,0.0733014173536825,0.0448566913408723,0.0569141524642917
"76",2022,0.07475947759197,0.0786621920850048,0.0611116563081867,0.0576067960843498
"77",2023,0.0318121428616819,0.0147621933844373,0.0394091914026847,0.022737384566349
